"tamCacheL1=131072|AssocL1=16|tamBlocoL1=64","Total","Instrn","Data","Read","Write","Misc"
"   Capacity misses","   104041464","       59089","   103982375","   103982375","           0","           0
"
"   Conflict misses","     1833489","      213253","     1620236","     1620236","           0","           0
"
"   Compulsory fraction","      0.1052","      0.0058","      0.1054","      0.1054","      0.0000","      0.0000
"
"   Capacity fraction","      0.8793","      0.2157","      0.8809","      0.8809","      0.0000","      0.0000
"
"   Conflict fraction","      0.0155","      0.7785","      0.0137","      0.0137","      0.0000","      0.0000
"
""
"tamCacheL1=16384|AssocL1=8|tamBlocoL1=32","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225315","  2000000000","   827225315","   653135793","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","   100388424","     2063948","    98324476","    79723608","    18600868","           0
"
"  Demand miss rate","      0.0355","      0.0010","      0.1189","      0.1221","      0.1068","      0.0000
"
"   Compulsory misses","     6221377","         920","     6220457","         315","     6220142","           0
"
"   Capacity misses","    92251380","      553608","    91697772","    79377601","    12320171","           0
"
"   Conflict misses","     1915667","     1509420","      406247","      345692","       60555","           0
"
"   Compulsory fraction","      0.0620","      0.0004","      0.0633","      0.0000","      0.3344","      0.0000
"
"   Capacity fraction","      0.9189","      0.2682","      0.9326","      0.9957","      0.6623","      0.0000
"
"   Conflict fraction","      0.0191","      0.7313","      0.0041","      0.0043","      0.0033","      0.0000
"
"tamCacheL2=262144|AssocL2=8|tamBlocoL2=32","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   274477946","     2063948","   272413998","    98324476","   174089522","           0
"
"  Fraction of total","      1.0000","      0.0075","      0.9925","      0.3582","      0.6343","      0.0000
"
" Demand Misses","    89583927","       36116","    89547811","    89547808","           3","           0
"
"  Demand miss rate","      0.3264","      0.0175","      0.3287","      0.9107","      0.0000","      0.0000
"
"   Compulsory misses","     6221377","         920","     6220457","     6220457","           0","           0
"
"   Capacity misses","    83268484","       35091","    83233393","    83233390","           3","           0
"
"   Conflict misses","       94066","         105","       93961","       93961","           0","           0
"
"   Compulsory fraction","      0.0694","      0.0255","      0.0695","      0.0695","      0.0000","      0.0000
"
"   Capacity fraction","      0.9295","      0.9716","      0.9295","      0.9295","      1.0000","      0.0000
"
"   Conflict fraction","      0.0011","      0.0029","      0.0010","      0.0010","      0.0000","      0.0000
"
""
"tamCacheL1=65536|AssocL1=1|tamBlocoL1=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827419896","  2000000000","   827419896","   653330374","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   129917804","     8038216","   121879588","    93467917","    28411671","           0
"
"  Demand miss rate","      0.0459","      0.0040","      0.1473","      0.1431","      0.1632","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","         508","    12440245","           0
"
"   Capacity misses","   104585120","       62131","   104522989","    89071076","    15451913","           0
"
"   Conflict misses","    12890352","     7974506","     4915846","     4396333","      519513","           0
"
"   Compulsory fraction","      0.0958","      0.0002","      0.1021","      0.0000","      0.4379","      0.0000
"
"   Capacity fraction","      0.8050","      0.0077","      0.8576","      0.9530","      0.5439","      0.0000
"
"   Conflict fraction","      0.0992","      0.9921","      0.0403","      0.0470","      0.0183","      0.0000
"
"tamCacheL2=262144|AssocL2=1|tamBlocoL2=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   304007326","     8038216","   295969110","   121879588","   174089522","           0
"
"  Fraction of total","      1.0000","      0.0264","      0.9736","      0.4009","      0.5726","      0.0000
"
" Demand Misses","   118317285","      273921","   118043364","   118043364","           0","           0
"
"  Demand miss rate","      0.3892","      0.0341","      0.3988","      0.9685","      0.0000","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","    12440753","           0","           0
"
"   Capacity misses","   104058580","       60916","   103997664","   103997664","           0","           0
"
"   Conflict misses","     1816373","      211426","     1604947","     1604947","           0","           0
"
"   Compulsory fraction","      0.1052","      0.0058","      0.1054","      0.1054","      0.0000","      0.0000
"
"   Capacity fraction","      0.8795","      0.2224","      0.8810","      0.8810","      0.0000","      0.0000
"
"   Conflict fraction","      0.0154","      0.7719","      0.0136","      0.0136","      0.0000","      0.0000
"
""
"tamCacheL1=1024|AssocL1=4|tamBlocoL1=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827419896","  2000000000","   827419896","   653330374","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   534444356","   276305664","   258138692","   201698994","    56439698","           0
"
"  Demand miss rate","      0.1890","      0.1382","      0.3120","      0.3087","      0.3242","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","         508","    12440245","           0
"
"   Capacity misses","   451702658","   237734293","   213968365","   174819006","    39149359","           0
"
"   Conflict misses","    70299366","    38569792","    31729574","    26879480","     4850094","           0
"
"   Compulsory fraction","      0.0233","      0.0000","      0.0482","      0.0000","      0.2204","      0.0000
"
"   Capacity fraction","      0.8452","      0.8604","      0.8289","      0.8667","      0.6936","      0.0000
"
"   Conflict fraction","      0.1315","      0.1396","      0.1229","      0.1333","      0.0859","      0.0000
"
"tamCacheL2=262144|AssocL2=4|tamBlocoL2=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   708533878","   276305664","   432228214","   258138692","   174089522","           0
"
"  Fraction of total","      1.0000","      0.3900","      0.6100","      0.3643","      0.2457","      0.0000
"
" Demand Misses","   116622197","       62044","   116560153","   116560150","           3","           0
"
"  Demand miss rate","      0.1646","      0.0002","      0.2697","      0.4515","      0.0000","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","    12440753","           0","           0
"
"   Capacity misses","   104007291","       59379","   103947912","   103947909","           3","           0
"
"   Conflict misses","      172574","        1086","      171488","      171488","           0","           0
"
"   Compulsory fraction","      0.1067","      0.0254","      0.1067","      0.1067","      0.0000","      0.0000
"
"   Capacity fraction","      0.8918","      0.9570","      0.8918","      0.8918","      1.0000","      0.0000
"
"   Conflict fraction","      0.0015","      0.0175","      0.0015","      0.0015","      0.0000","      0.0000
"
""
"tamCacheL1=4096|AssocL1=8|tamBlocoL1=128","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225313","  2000000000","   827225313","   653135793","   174089520","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","   145070719","    59286511","    85784208","    76529717","     9254491","           0
"
"  Demand miss rate","      0.0513","      0.0296","      0.1037","      0.1172","      0.0532","      0.0000
"
"   Compulsory misses","     1555512","         332","     1555180","         124","     1555056","           0
"
"   Capacity misses","   138717150","    56802001","    81915149","    74860430","     7054719","           0
"
"   Conflict misses","     4798057","     2484178","     2313879","     1669163","      644716","           0
"
"   Compulsory fraction","      0.0107","      0.0000","      0.0181","      0.0000","      0.1680","      0.0000
"
"   Capacity fraction","      0.9562","      0.9581","      0.9549","      0.9782","      0.7623","      0.0000
"
"   Conflict fraction","      0.0331","      0.0419","      0.0270","      0.0218","      0.0697","      0.0000
"
"tamCacheL2=262144|AssocL2=8|tamBlocoL2=128","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   319160239","    59286511","   259873728","    85784208","   174089520","           0
"
"  Fraction of total","      1.0000","      0.1858","      0.8142","      0.2688","      0.5455","      0.0000
"
" Demand Misses","    42028634","       22315","    42006319","    42006316","           3","           0
"
"  Demand miss rate","      0.1317","      0.0004","      0.1616","      0.4897","      0.0000","      0.0000
"
"   Compulsory misses","     1555512","         332","     1555180","     1555180","           0","           0
"
"   Capacity misses","    39997875","       10580","    39987295","    39987292","           3","           0
"
"   Conflict misses","      475247","       11403","      463844","      463844","           0","           0
"
"   Compulsory fraction","      0.0370","      0.0149","      0.0370","      0.0370","      0.0000","      0.0000
"
"   Capacity fraction","      0.9517","      0.4741","      0.9519","      0.9519","      1.0000","      0.0000
"
"   Conflict fraction","      0.0113","      0.5110","      0.0110","      0.0110","      0.0000","      0.0000
"
""
"tamCacheL1=131072|AssocL1=16|tamBlocoL1=8","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827436458","  2000000000","   827436458","   653346930","   174089528","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   154243950","      112191","   154131759","   112767230","    41364529","           0
"
"  Demand miss rate","      0.0546","      0.0001","      0.1863","      0.1726","      0.2376","      0.0000
"
"   Compulsory misses","    24884230","        2915","    24881315","         862","    24880453","           0
"
"   Capacity misses","   129193134","      107552","   129085582","   112604556","    16481026","           0
"
"   Conflict misses","      166586","        1724","      164862","      161812","        3050","           0
"
"   Compulsory fraction","      0.1613","      0.0260","      0.1614","      0.0000","      0.6015","      0.0000
"
"   Capacity fraction","      0.8376","      0.9587","      0.8375","      0.9986","      0.3984","      0.0000
"
"   Conflict fraction","      0.0011","      0.0154","      0.0011","      0.0014","      0.0001","      0.0000
"
"tamCacheL2=262144|AssocL2=16|tamBlocoL2=8","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   328333478","      112191","   328221287","   154131759","   174089528","           0
"
"  Fraction of total","      1.0000","      0.0003","      0.9997","      0.4694","      0.5302","      0.0000
"
" Demand Misses","   153920226","      110503","   153809723","   153803735","        5988","           0
"
"  Demand miss rate","      0.4688","      0.9850","      0.4686","      0.9979","      0.0000","      0.0000
"
"   Compulsory misses","    24884230","        2915","    24881315","    24881315","           0","           0
"
"   Capacity misses","   128964994","      107536","   128857458","   128857025","         433","           0
"
"   Conflict misses","       71002","          52","       70950","       65395","        5555","           0
"
"   Compulsory fraction","      0.1617","      0.0264","      0.1618","      0.1618","      0.0000","      0.0000
"
"   Capacity fraction","      0.8379","      0.9732","      0.8378","      0.8378","      0.0723","      0.0000
"
"   Conflict fraction","      0.0005","      0.0005","      0.0005","      0.0004","      0.9277","      0.0000
"
""
"tamCacheL1=16384|AssocL1=16|tamBlocoL1=32","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225315","  2000000000","   827225315","   653135793","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","    98665798","      558615","    98107183","    79497702","    18609481","           0
"
"  Demand miss rate","      0.0349","      0.0003","      0.1186","      0.1217","      0.1069","      0.0000
"
"   Compulsory misses","     6221377","         920","     6220457","         315","     6220142","           0
"
"   Capacity misses","    92310809","      557072","    91753737","    79408103","    12345634","           0
"
"   Conflict misses","      133612","         623","      132989","       89284","       43705","           0
"
"   Compulsory fraction","      0.0631","      0.0016","      0.0634","      0.0000","      0.3342","      0.0000
"
"   Capacity fraction","      0.9356","      0.9972","      0.9352","      0.9989","      0.6634","      0.0000
"
"   Conflict fraction","      0.0014","      0.0011","      0.0014","      0.0011","      0.0023","      0.0000
"
"tamCacheL2=262144|AssocL2=16|tamBlocoL2=32","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   272755320","      558615","   272196705","    98107183","   174089522","           0
"
"  Fraction of total","      1.0000","      0.0020","      0.9980","      0.3597","      0.6383","      0.0000
"
" Demand Misses","    89561580","       35785","    89525795","    89525792","           3","           0
"
"  Demand miss rate","      0.3284","      0.0641","      0.3289","      0.9125","      0.0000","      0.0000
"
"   Compulsory misses","     6221377","         920","     6220457","     6220457","           0","           0
"
"   Capacity misses","    83286947","       34847","    83252100","    83252097","           3","           0
"
"   Conflict misses","       53256","          18","       53238","       53238","           0","           0
"
"   Compulsory fraction","      0.0695","      0.0257","      0.0695","      0.0695","      0.0000","      0.0000
"
"   Capacity fraction","      0.9299","      0.9738","      0.9299","      0.9299","      1.0000","      0.0000
"
"   Conflict fraction","      0.0006","      0.0005","      0.0006","      0.0006","      0.0000","      0.0000
"
""
"tamCacheL1=65536|AssocL1=16|tamBlocoL1=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827419896","  2000000000","   827419896","   653330374","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   117329518","       74294","   117255224","    89343239","    27911985","           0
"
"  Demand miss rate","      0.0415","      0.0000","      0.1417","      0.1368","      0.1603","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","         508","    12440245","           0
"
"   Capacity misses","   104652008","       61415","   104590593","    89136300","    15454293","           0
"
"   Conflict misses","      235178","       11300","      223878","      206431","       17447","           0
"
"   Compulsory fraction","      0.1060","      0.0213","      0.1061","      0.0000","      0.4457","      0.0000
"
"   Capacity fraction","      0.8919","      0.8266","      0.8920","      0.9977","      0.5537","      0.0000
"
"   Conflict fraction","      0.0020","      0.1521","      0.0019","      0.0023","      0.0006","      0.0000
"
"tamCacheL2=262144|AssocL2=16|tamBlocoL2=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   291419040","       74294","   291344746","   117255224","   174089522","           0
"
"  Fraction of total","      1.0000","      0.0003","      0.9997","      0.4024","      0.5974","      0.0000
"
" Demand Misses","   116555941","       62992","   116492949","   116486007","        6942","           0
"
"  Demand miss rate","      0.4000","      0.8479","      0.3998","      0.9934","      0.0000","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","    12440753","           0","           0
"
"   Capacity misses","   104043004","       60496","   103982508","   103977985","        4523","           0
"
"   Conflict misses","       70605","         917","       69688","       67269","        2419","           0
"
"   Compulsory fraction","      0.1067","      0.0251","      0.1068","      0.1068","      0.0000","      0.0000
"
"   Capacity fraction","      0.8926","      0.9604","      0.8926","      0.8926","      0.6515","      0.0000
"
"   Conflict fraction","      0.0006","      0.0146","      0.0006","      0.0006","      0.3485","      0.0000
"
""
"tamCacheL1=65536|AssocL1=16|tamBlocoL1=128","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225313","  2000000000","   827225313","   653135793","   174089520","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","    47817577","      163050","    47654527","    43063119","     4591408","           0
"
"  Demand miss rate","      0.0169","      0.0001","      0.0576","      0.0659","      0.0264","      0.0000
"
"   Compulsory misses","     1555512","         332","     1555180","         124","     1555056","           0
"
"   Capacity misses","    46203353","      160325","    46043028","    43030150","     3012878","           0
"
"   Conflict misses","       58712","        2393","       56319","       32845","       23474","           0
"
"   Compulsory fraction","      0.0325","      0.0020","      0.0326","      0.0000","      0.3387","      0.0000
"
"   Capacity fraction","      0.9662","      0.9833","      0.9662","      0.9992","      0.6562","      0.0000
"
"   Conflict fraction","      0.0012","      0.0147","      0.0012","      0.0008","      0.0051","      0.0000
"
"tamCacheL2=262144|AssocL2=16|tamBlocoL2=128","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   221907097","      163050","   221744047","    47654527","   174089520","           0
"
"  Fraction of total","      1.0000","      0.0007","      0.9993","      0.2147","      0.7845","      0.0000
"
" Demand Misses","    41700008","       12937","    41687071","    41687064","           7","           0
"
"  Demand miss rate","      0.1879","      0.0793","      0.1880","      0.8748","      0.0000","      0.0000
"
"   Compulsory misses","     1555512","         332","     1555180","     1555180","           0","           0
"
"   Capacity misses","    40019552","       10957","    40008595","    40008592","           3","           0
"
"   Conflict misses","      124944","        1648","      123296","      123292","           4","           0
"
"   Compulsory fraction","      0.0373","      0.0257","      0.0373","      0.0373","      0.0000","      0.0000
"
"   Capacity fraction","      0.9597","      0.8470","      0.9597","      0.9597","      0.4286","      0.0000
"
"   Conflict fraction","      0.0030","      0.1274","      0.0030","      0.0030","      0.5714","      0.0000
"
""
"tamCacheL1=65536|AssocL1=1|tamBlocoL1=128","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225313","  2000000000","   827225313","   653135793","   174089520","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","    55156001","     4775167","    50380834","    45358246","     5022588","           0
"
"  Demand miss rate","      0.0195","      0.0024","      0.0609","      0.0694","      0.0289","      0.0000
"
"   Compulsory misses","     1555512","         332","     1555180","         124","     1555056","           0
"
"   Capacity misses","    45405972","      138138","    45267834","    42274801","     2993033","           0
"
"   Conflict misses","     8194517","     4636697","     3557820","     3083321","      474499","           0
"
"   Compulsory fraction","      0.0282","      0.0001","      0.0309","      0.0000","      0.3096","      0.0000
"
"   Capacity fraction","      0.8232","      0.0289","      0.8985","      0.9320","      0.5959","      0.0000
"
"   Conflict fraction","      0.1486","      0.9710","      0.0706","      0.0680","      0.0945","      0.0000
"
"tamCacheL2=262144|AssocL2=1|tamBlocoL2=128","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   229245521","     4775167","   224470354","    50380834","   174089520","           0
"
"  Fraction of total","      1.0000","      0.0208","      0.9792","      0.2198","      0.7594","      0.0000
"
" Demand Misses","    47171689","     1483953","    45687736","    45687736","           0","           0
"
"  Demand miss rate","      0.2058","      0.3108","      0.2035","      0.9068","      0.0000","      0.0000
"
"   Compulsory misses","     1555512","         332","     1555180","     1555180","           0","           0
"
"   Capacity misses","    39927553","       12115","    39915438","    39915438","           0","           0
"
"   Conflict misses","     5688624","     1471506","     4217118","     4217118","           0","           0
"
"   Compulsory fraction","      0.0330","      0.0002","      0.0340","      0.0340","      0.0000","      0.0000
"
"   Capacity fraction","      0.8464","      0.0082","      0.8737","      0.8737","      0.0000","      0.0000
"
"   Conflict fraction","      0.1206","      0.9916","      0.0923","      0.0923","      0.0000","      0.0000
"
""
"tamCacheL1=16384|AssocL1=1|tamBlocoL1=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827419896","  2000000000","   827419896","   653330374","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   187902249","    41352713","   146549536","   107369749","    39179787","           0
"
"  Demand miss rate","      0.0665","      0.0207","      0.1771","      0.1643","      0.2251","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","         508","    12440245","           0
"
"   Capacity misses","   114414537","      815042","   113599495","    97260543","    16338952","           0
"
"   Conflict misses","    61045380","    40536092","    20509288","    10108698","    10400590","           0
"
"   Compulsory fraction","      0.0662","      0.0000","      0.0849","      0.0000","      0.3175","      0.0000
"
"   Capacity fraction","      0.6089","      0.0197","      0.7752","      0.9058","      0.4170","      0.0000
"
"   Conflict fraction","      0.3249","      0.9803","      0.1399","      0.0941","      0.2655","      0.0000
"
"tamCacheL2=262144|AssocL2=1|tamBlocoL2=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   361991771","    41352713","   320639058","   146549536","   174089522","           0
"
"  Fraction of total","      1.0000","      0.1142","      0.8858","      0.4048","      0.4809","      0.0000
"
" Demand Misses","   118317285","      273921","   118043364","   118043364","           0","           0
"
"  Demand miss rate","      0.3269","      0.0066","      0.3682","      0.8055","      0.0000","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","    12440753","           0","           0
"
"   Capacity misses","   104041570","       59161","   103982409","   103982409","           0","           0
"
"   Conflict misses","     1833383","      213181","     1620202","     1620202","           0","           0
"
"   Compulsory fraction","      0.1052","      0.0058","      0.1054","      0.1054","      0.0000","      0.0000
"
"   Capacity fraction","      0.8793","      0.2160","      0.8809","      0.8809","      0.0000","      0.0000
"
"   Conflict fraction","      0.0155","      0.7783","      0.0137","      0.0137","      0.0000","      0.0000
"
""
"tamCacheL1=1024|AssocL1=1|tamBlocoL1=8","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827436458","  2000000000","   827436458","   653346930","   174089528","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   879873160","   493133815","   386739345","   284841314","   101898031","           0
"
"  Demand miss rate","      0.3112","      0.2466","      0.4674","      0.4360","      0.5853","      0.0000
"
"   Compulsory misses","    24884230","        2915","    24881315","         862","    24880453","           0
"
"   Capacity misses","   644193239","   390648021","   253545218","   202587072","    50958146","           0
"
"   Conflict misses","   210795691","   102482879","   108312812","    82253380","    26059432","           0
"
"   Compulsory fraction","      0.0283","      0.0000","      0.0643","      0.0000","      0.2442","      0.0000
"
"   Capacity fraction","      0.7321","      0.7922","      0.6556","      0.7112","      0.5001","      0.0000
"
"   Conflict fraction","      0.2396","      0.2078","      0.2801","      0.2888","      0.2557","      0.0000
"
"tamCacheL2=262144|AssocL2=1|tamBlocoL2=8","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  1053962688","   493133815","   560828873","   386739345","   174089528","           0
"
"  Fraction of total","      1.0000","      0.4679","      0.5321","      0.3669","      0.1652","      0.0000
"
" Demand Misses","   155741034","      359316","   155381718","   155381718","           0","           0
"
"  Demand miss rate","      0.1478","      0.0007","      0.2771","      0.4018","      0.0000","      0.0000
"
"   Compulsory misses","    24884230","        2915","    24881315","    24881315","           0","           0
"
"   Capacity misses","   129045540","      107196","   128938344","   128938344","           0","           0
"
"   Conflict misses","     1811264","      249205","     1562059","     1562059","           0","           0
"
"   Compulsory fraction","      0.1598","      0.0081","      0.1601","      0.1601","      0.0000","      0.0000
"
"   Capacity fraction","      0.8286","      0.2983","      0.8298","      0.8298","      0.0000","      0.0000
"
"   Conflict fraction","      0.0116","      0.6936","      0.0101","      0.0101","      0.0000","      0.0000
"
""
"tamCacheL1=131072|AssocL1=16|tamBlocoL1=128","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225313","  2000000000","   827225313","   653135793","   174089520","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","    45927080","      126343","    45800737","    41321914","     4478823","           0
"
"  Demand miss rate","      0.0162","      0.0001","      0.0554","      0.0633","      0.0257","      0.0000
"
"   Compulsory misses","     1555512","         332","     1555180","         124","     1555056","           0
"
"   Capacity misses","    44009568","      123628","    43885940","    40966885","     2919055","           0
"
"   Conflict misses","      362000","        2383","      359617","      354905","        4712","           0
"
"   Compulsory fraction","      0.0339","      0.0026","      0.0340","      0.0000","      0.3472","      0.0000
"
"   Capacity fraction","      0.9582","      0.9785","      0.9582","      0.9914","      0.6517","      0.0000
"
"   Conflict fraction","      0.0079","      0.0189","      0.0079","      0.0086","      0.0011","      0.0000
"
"tamCacheL2=262144|AssocL2=16|tamBlocoL2=128","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   220016600","      126343","   219890257","    45800737","   174089520","           0
"
"  Fraction of total","      1.0000","      0.0006","      0.9994","      0.2082","      0.7913","      0.0000
"
" Demand Misses","    41780737","       14802","    41765935","    41764241","        1694","           0
"
"  Demand miss rate","      0.1899","      0.1172","      0.1899","      0.9119","      0.0000","      0.0000
"
"   Compulsory misses","     1555512","         332","     1555180","     1555180","           0","           0
"
"   Capacity misses","    40033036","       12778","    40020258","    40019115","        1143","           0
"
"   Conflict misses","      192189","        1692","      190497","      189946","         551","           0
"
"   Compulsory fraction","      0.0372","      0.0224","      0.0372","      0.0372","      0.0000","      0.0000
"
"   Capacity fraction","      0.9582","      0.8633","      0.9582","      0.9582","      0.6747","      0.0000
"
"   Conflict fraction","      0.0046","      0.1143","      0.0046","      0.0045","      0.3253","      0.0000
"
""
"tamCacheL1=4096|AssocL1=2|tamBlocoL1=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827419896","  2000000000","   827419896","   653330374","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   298814718","   130381643","   168433075","   125768313","    42664762","           0
"
"  Demand miss rate","      0.1057","      0.0652","      0.2036","      0.1925","      0.2451","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","         508","    12440245","           0
"
"   Capacity misses","   244535140","   107519241","   137015899","   115028926","    21986973","           0
"
"   Conflict misses","    41837246","    22860823","    18976423","    10738879","     8237544","           0
"
"   Compulsory fraction","      0.0416","      0.0000","      0.0739","      0.0000","      0.2916","      0.0000
"
"   Capacity fraction","      0.8184","      0.8247","      0.8135","      0.9146","      0.5153","      0.0000
"
"   Conflict fraction","      0.1400","      0.1753","      0.1127","      0.0854","      0.1931","      0.0000
"
"tamCacheL2=262144|AssocL2=2|tamBlocoL2=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   472904240","   130381643","   342522597","   168433075","   174089522","           0
"
"  Fraction of total","      1.0000","      0.2757","      0.7243","      0.3562","      0.3681","      0.0000
"
" Demand Misses","   116894312","       88635","   116805677","   116805662","          15","           0
"
"  Demand miss rate","      0.2472","      0.0007","      0.3410","      0.6935","      0.0000","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","    12440753","           0","           0
"
"   Capacity misses","   104023492","       64853","   103958639","   103958636","           3","           0
"
"   Conflict misses","      428488","       22203","      406285","      406273","          12","           0
"
"   Compulsory fraction","      0.1064","      0.0178","      0.1065","      0.1065","      0.0000","      0.0000
"
"   Capacity fraction","      0.8899","      0.7317","      0.8900","      0.8900","      0.2000","      0.0000
"
"   Conflict fraction","      0.0037","      0.2505","      0.0035","      0.0035","      0.8000","      0.0000
"
""
"tamCacheL1=131072|AssocL1=4|tamBlocoL1=32","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225315","  2000000000","   827225315","   653135793","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","    90421029","       55491","    90365538","    72669377","    17696161","           0
"
"  Demand miss rate","      0.0320","      0.0000","      0.1092","      0.1113","      0.1016","      0.0000
"
"   Compulsory misses","     6221377","         920","     6220457","         315","     6220142","           0
"
"   Capacity misses","    83715135","       35432","    83679703","    72218235","    11461468","           0
"
"   Conflict misses","      484517","       19139","      465378","      450827","       14551","           0
"
"   Compulsory fraction","      0.0688","      0.0166","      0.0688","      0.0000","      0.3515","      0.0000
"
"   Capacity fraction","      0.9258","      0.6385","      0.9260","      0.9938","      0.6477","      0.0000
"
"   Conflict fraction","      0.0054","      0.3449","      0.0051","      0.0062","      0.0008","      0.0000
"
"tamCacheL2=262144|AssocL2=4|tamBlocoL2=32","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   264510551","       55491","   264455060","    90365538","   174089522","           0
"
"  Fraction of total","      1.0000","      0.0002","      0.9998","      0.3416","      0.6582","      0.0000
"
" Demand Misses","    89714165","       42028","    89672137","    89656666","       15471","           0
"
"  Demand miss rate","      0.3392","      0.7574","      0.3391","      0.9922","      0.0001","      0.0000
"
"   Compulsory misses","     6221377","         920","     6220457","     6220457","           0","           0
"
"   Capacity misses","    83270016","       38044","    83231972","    83221142","       10830","           0
"
"   Conflict misses","      222772","        3064","      219708","      215067","        4641","           0
"
"   Compulsory fraction","      0.0693","      0.0219","      0.0694","      0.0694","      0.0000","      0.0000
"
"   Capacity fraction","      0.9282","      0.9052","      0.9282","      0.9282","      0.7000","      0.0000
"
"   Conflict fraction","      0.0025","      0.0729","      0.0025","      0.0024","      0.3000","      0.0000
"
""
"tamCacheL1=131072|AssocL1=4|tamBlocoL1=128","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225313","  2000000000","   827225313","   653135793","   174089520","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","    45507008","      103163","    45403845","    40895046","     4508799","           0
"
"  Demand miss rate","      0.0161","      0.0001","      0.0549","      0.0626","      0.0259","      0.0000
"
"   Compulsory misses","     1555512","         332","     1555180","         124","     1555056","           0
"
"   Capacity misses","    43416594","       98434","    43318160","    40400900","     2917260","           0
"
