"tamCacheL1=131072|AssocL1=16|tamBlocoL1=64","Total","Instrn","Data","Read","Write","Misc"
"tamCacheL1=1024|AssocL1=16|tamBlocoL1=32","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225315","  2000000000","   827225315","   653135793","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","   447858966","   219275975","   228582991","   195705477","    32877514","           0
"
"  Demand miss rate","      0.1584","      0.1096","      0.2763","      0.2996","      0.1889","      0.0000
"
"   Compulsory misses","     6221377","         920","     6220457","         315","     6220142","           0
"
"   Capacity misses","   440029733","   219230582","   220799151","   194165265","    26633886","           0
"
"   Conflict misses","     1607856","       44473","     1563383","     1539897","       23486","           0
"
"   Compulsory fraction","      0.0139","      0.0000","      0.0272","      0.0000","      0.1892","      0.0000
"
"   Capacity fraction","      0.9825","      0.9998","      0.9659","      0.9921","      0.8101","      0.0000
"
"   Conflict fraction","      0.0036","      0.0002","      0.0068","      0.0079","      0.0007","      0.0000
"
""
"tamCacheL1=4096|AssocL1=8|tamBlocoL1=32","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225315","  2000000000","   827225315","   653135793","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","   221823543","    94982309","   126841234","   103467230","    23374004","           0
"
"  Demand miss rate","      0.0785","      0.0475","      0.1533","      0.1584","      0.1343","      0.0000
"
"   Compulsory misses","     6221377","         920","     6220457","         315","     6220142","           0
"
"   Capacity misses","   209204293","    92282002","   116922291","   100855116","    16067175","           0
"
"   Conflict misses","     6397873","     2699387","     3698486","     2611799","     1086687","           0
"
"   Compulsory fraction","      0.0280","      0.0000","      0.0490","      0.0000","      0.2661","      0.0000
"
"   Capacity fraction","      0.9431","      0.9716","      0.9218","      0.9748","      0.6874","      0.0000
"
"   Conflict fraction","      0.0288","      0.0284","      0.0292","      0.0252","      0.0465","      0.0000
"
""
"tamCacheL1=4096|AssocL1=16|tamBlocoL1=8","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827436458","  2000000000","   827436458","   653346930","   174089528","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   394103455","   195068404","   199035051","   146480613","    52554438","           0
"
"  Demand miss rate","      0.1394","      0.0975","      0.2405","      0.2242","      0.3019","      0.0000
"
"   Compulsory misses","    24884230","        2915","    24881315","         862","    24880453","           0
"
"   Capacity misses","   359803250","   188189472","   171613778","   144992269","    26621509","           0
"
"   Conflict misses","     9415975","     6876017","     2539958","     1487482","     1052476","           0
"
"   Compulsory fraction","      0.0631","      0.0000","      0.1250","      0.0000","      0.4734","      0.0000
"
"   Capacity fraction","      0.9130","      0.9647","      0.8622","      0.9898","      0.5066","      0.0000
"
"   Conflict fraction","      0.0239","      0.0352","      0.0128","      0.0102","      0.0200","      0.0000
"
""
"tamCacheL1=131072|AssocL1=16|tamBlocoL1=32","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225315","  2000000000","   827225315","   653135793","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","    90024934","       36636","    89988298","    72305737","    17682561","           0
"
"  Demand miss rate","      0.0318","      0.0000","      0.1088","      0.1107","      0.1016","      0.0000
"
"   Compulsory misses","     6221377","         920","     6220457","         315","     6220142","           0
"
"   Capacity misses","    83763993","       35641","    83728352","    72266721","    11461631","           0
"
"   Conflict misses","       39564","          75","       39489","       38701","         788","           0
"
"   Compulsory fraction","      0.0691","      0.0251","      0.0691","      0.0000","      0.3518","      0.0000
"
"   Capacity fraction","      0.9305","      0.9728","      0.9304","      0.9995","      0.6482","      0.0000
"
"   Conflict fraction","      0.0004","      0.0020","      0.0004","      0.0005","      0.0000","      0.0000
"
""
"tamCacheL1=16384|AssocL1=2|tamBlocoL1=32","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225315","  2000000000","   827225315","   653135793","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","   127248780","    23303348","   103945432","    83916777","    20028655","           0
"
"  Demand miss rate","      0.0450","      0.0117","      0.1257","      0.1285","      0.1150","      0.0000
"
"   Compulsory misses","     6221377","         920","     6220457","         315","     6220142","           0
"
"   Capacity misses","    92090849","      549566","    91541283","    79283696","    12257587","           0
"
"   Conflict misses","    28936554","    22752862","     6183692","     4632766","     1550926","           0
"
"   Compulsory fraction","      0.0489","      0.0000","      0.0598","      0.0000","      0.3106","      0.0000
"
"   Capacity fraction","      0.7237","      0.0236","      0.8807","      0.9448","      0.6120","      0.0000
"
"   Conflict fraction","      0.2274","      0.9764","      0.0595","      0.0552","      0.0774","      0.0000
"
""
"tamCacheL1=65536|AssocL1=16|tamBlocoL1=8","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827436458","  2000000000","   827436458","   653346930","   174089528","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   154499195","      115584","   154383611","   113000600","    41383011","           0
"
"  Demand miss rate","      0.0546","      0.0001","      0.1866","      0.1730","      0.2377","      0.0000
"
"   Compulsory misses","    24884230","        2915","    24881315","         862","    24880453","           0
"
"   Capacity misses","   129462704","      111016","   129351688","   112866405","    16485283","           0
"
"   Conflict misses","      152261","        1653","      150608","      133333","       17275","           0
"
"   Compulsory fraction","      0.1611","      0.0252","      0.1612","      0.0000","      0.6012","      0.0000
"
"   Capacity fraction","      0.8380","      0.9605","      0.8379","      0.9988","      0.3984","      0.0000
"
"   Conflict fraction","      0.0010","      0.0143","      0.0010","      0.0012","      0.0004","      0.0000
"
""
"tamCacheL1=131072|AssocL1=8|tamBlocoL1=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827419896","  2000000000","   827419896","   653330374","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   116914022","       62194","   116851828","    88964086","    27887742","           0
"
"  Demand miss rate","      0.0414","      0.0000","      0.1412","      0.1362","      0.1602","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","         508","    12440245","           0
"
"   Capacity misses","   104346116","       60123","   104285993","    88840205","    15445788","           0
"
"   Conflict misses","      125574","         492","      125082","      123373","        1709","           0
"
"   Compulsory fraction","      0.1064","      0.0254","      0.1065","      0.0000","      0.4461","      0.0000
"
"   Capacity fraction","      0.8925","      0.9667","      0.8925","      0.9986","      0.5539","      0.0000
"
"   Conflict fraction","      0.0011","      0.0079","      0.0011","      0.0014","      0.0001","      0.0000
"
""
"tamCacheL1=1024|AssocL1=8|tamBlocoL1=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827419896","  2000000000","   827419896","   653330374","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   529460032","   284500500","   244959532","   190952017","    54007515","           0
"
"  Demand miss rate","      0.1873","      0.1423","      0.2961","      0.2923","      0.3102","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","         508","    12440245","           0
"
"   Capacity misses","   458755012","   244365855","   214389157","   175235868","    39153289","           0
"
"   Conflict misses","    58262688","    40133066","    18129622","    15715641","     2413981","           0
"
"   Compulsory fraction","      0.0235","      0.0000","      0.0508","      0.0000","      0.2303","      0.0000
"
"   Capacity fraction","      0.8665","      0.8589","      0.8752","      0.9177","      0.7250","      0.0000
"
"   Conflict fraction","      0.1100","      0.1411","      0.0740","      0.0823","      0.0447","      0.0000
"
""
"tamCacheL1=1024|AssocL1=8|tamBlocoL1=32","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225315","  2000000000","   827225315","   653135793","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","   440676876","   215309551","   225367325","   192191625","    33175700","           0
"
"  Demand miss rate","      0.1559","      0.1077","      0.2724","      0.2943","      0.1906","      0.0000
"
"   Compulsory misses","     6221377","         920","     6220457","         315","     6220142","           0
"
"   Capacity misses","   429851791","   213577313","   216274478","   189376156","    26898322","           0
"
"   Conflict misses","     4603708","     1731318","     2872390","     2815154","       57236","           0
"
"   Compulsory fraction","      0.0141","      0.0000","      0.0276","      0.0000","      0.1875","      0.0000
"
"   Capacity fraction","      0.9754","      0.9920","      0.9597","      0.9854","      0.8108","      0.0000
"
"   Conflict fraction","      0.0104","      0.0080","      0.0127","      0.0146","      0.0017","      0.0000
"
""
"tamCacheL1=1024|AssocL1=1|tamBlocoL1=64","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225313","  2000000000","   827225313","   653135793","   174089520","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","   499877921","   211267332","   288610589","   250808347","    37802242","           0
"
"  Demand miss rate","      0.1768","      0.1056","      0.3489","      0.3840","      0.2171","      0.0000
"
"   Compulsory misses","     3110830","         547","     3110283","         198","     3110085","           0
"
"   Capacity misses","   314091428","   130530739","   183560689","   167470451","    16090238","           0
"
"   Conflict misses","   182675663","    80736046","   101939617","    83337698","    18601919","           0
"
"   Compulsory fraction","      0.0062","      0.0000","      0.0108","      0.0000","      0.0823","      0.0000
"
"   Capacity fraction","      0.6283","      0.6178","      0.6360","      0.6677","      0.4256","      0.0000
"
"   Conflict fraction","      0.3654","      0.3822","      0.3532","      0.3323","      0.4921","      0.0000
"
""
"tamCacheL1=1024|AssocL1=8|tamBlocoL1=64","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225313","  2000000000","   827225313","   653135793","   174089520","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","   349885603","   140721702","   209163901","   185169783","    23994118","           0
"
"  Demand miss rate","      0.1238","      0.0704","      0.2528","      0.2835","      0.1378","      0.0000
"
"   Compulsory misses","     3110830","         547","     3110283","         198","     3110085","           0
"
"   Capacity misses","   339158449","   140626801","   198531648","   180831048","    17700600","           0
"
"   Conflict misses","     7616324","       94354","     7521970","     4338537","     3183433","           0
"
"   Compulsory fraction","      0.0089","      0.0000","      0.0149","      0.0000","      0.1296","      0.0000
"
"   Capacity fraction","      0.9693","      0.9993","      0.9492","      0.9766","      0.7377","      0.0000
"
"   Conflict fraction","      0.0218","      0.0007","      0.0360","      0.0234","      0.1327","      0.0000
"
""
"tamCacheL1=4096|AssocL1=2|tamBlocoL1=32","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225315","  2000000000","   827225315","   653135793","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","   241812150","   102039993","   139772157","   114670949","    25101208","           0
"
"  Demand miss rate","      0.0855","      0.0510","      0.1690","      0.1756","      0.1442","      0.0000
"
"   Compulsory misses","     6221377","         920","     6220457","         315","     6220142","           0
"
"   Capacity misses","   198490096","    83059144","   115430952","    99441278","    15989674","           0
"
"   Conflict misses","    37100677","    18979929","    18120748","    15229356","     2891392","           0
"
"   Compulsory fraction","      0.0257","      0.0000","      0.0445","      0.0000","      0.2478","      0.0000
"
"   Capacity fraction","      0.8208","      0.8140","      0.8259","      0.8672","      0.6370","      0.0000
"
"   Conflict fraction","      0.1534","      0.1860","      0.1296","      0.1328","      0.1152","      0.0000
"
""
"tamCacheL1=4096|AssocL1=4|tamBlocoL1=8","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827436458","  2000000000","   827436458","   653346930","   174089528","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   405486489","   202257122","   203229367","   148011797","    55217570","           0
"
"  Demand miss rate","      0.1434","      0.1011","      0.2456","      0.2265","      0.3172","      0.0000
"
"   Compulsory misses","    24884230","        2915","    24881315","         862","    24880453","           0
"
"   Capacity misses","   341871870","   173795137","   168076733","   141559807","    26516926","           0
"
"   Conflict misses","    38730389","    28459070","    10271319","     6451128","     3820191","           0
"
"   Compulsory fraction","      0.0614","      0.0000","      0.1224","      0.0000","      0.4506","      0.0000
"
"   Capacity fraction","      0.8431","      0.8593","      0.8270","      0.9564","      0.4802","      0.0000
"
"   Conflict fraction","      0.0955","      0.1407","      0.0505","      0.0436","      0.0692","      0.0000
"
""
"tamCacheL1=131072|AssocL1=8|tamBlocoL1=128","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225313","  2000000000","   827225313","   653135793","   174089520","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","    45586709","      106135","    45480574","    40995349","     4485225","           0
"
"  Demand miss rate","      0.0161","      0.0001","      0.0550","      0.0628","      0.0258","      0.0000
"
"   Compulsory misses","     1555512","         332","     1555180","         124","     1555056","           0
"
"   Capacity misses","    43598994","      102706","    43496288","    40578322","     2917966","           0
"
"   Conflict misses","      432203","        3097","      429106","      416903","       12203","           0
"
"   Compulsory fraction","      0.0341","      0.0031","      0.0342","      0.0000","      0.3467","      0.0000
"
"   Capacity fraction","      0.9564","      0.9677","      0.9564","      0.9898","      0.6506","      0.0000
"
"   Conflict fraction","      0.0095","      0.0292","      0.0094","      0.0102","      0.0027","      0.0000
"
""
"tamCacheL1=131072|AssocL1=4|tamBlocoL1=8","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827436458","  2000000000","   827436458","   653346930","   174089528","           0
"
